dt_zop_rok;kraj_id;quest_class;hermin_class;fin_vyuct_eu;fin_vyuct_narodni_verejne;fin_vyuct_verejne
2009;CZ020;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2009;CZ020;AIS;AIS5;7888635,4500000;993695,0500000000;8882330,5000000000
2009;CZ020;HC;HC;311693197,7594550;52200156,9923949987;363893354,7518500090
2009;CZ020;INFR;INFR;8323968746,8254404;3442631967,2808666229;11766600714,1063060760
2009;CZ020;RTD;RTD;112226761,7900000;22359615,6999999993;134586377,4900000095
2009;CZ020;TA;TA;460089752,8587650;81798404,4341683388;541888157,2929333448
2009;CZ031;AIS;AIS1;0,0000000;0,0000000000;0,0000000000
2009;CZ031;AIS;AIS2;32620972,0000000;7664080,0000000000;40285052,0000000000
2009;CZ031;AIS;AIS3;44655484,7800000;5788421,3799999999;50443906,1599999964
2009;CZ031;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2009;CZ031;AIS;AIS5;89396067,3400000;15346041,2000000011;104742108,5400000066
2009;CZ031;HC;HC;214642390,7280600;37820857,1344590038;252463247,8625189960
2009;CZ031;INFR;INFR;4814331666,8099995;1619109044,3099999428;6433440711,1199998856
2009;CZ031;RTD;RTD;25303566,9000000;1330759,3000000000;26634326,1999999993
2009;CZ031;TA;TA;656631130,5951101;109985242,1736200005;766616372,7687300444
2009;CZ032;AIS;AIS1;0,0000000;0,0000000000;0,0000000000
2009;CZ032;AIS;AIS2;22917082,0000000;3750633,0000000000;26667715,0000000000
2009;CZ032;AIS;AIS3;11552902,9900000;2038748,0100000000;13591651,0000000000
2009;CZ032;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2009;CZ032;AIS;AIS5;112028914,1100000;23152689,0500000007;135181603,1599999964
2009;CZ032;HC;HC;221326757,1352300;52939112,9534889981;274265870,0887190104
2009;CZ032;INFR;INFR;2766001252,0000000;817239359,7599998713;3583240611,7599997520
2009;CZ032;RTD;RTD;39065226,0000000;7974263,0000000000;47039489,0000000000
2009;CZ032;TA;TA;460305258,2599100;76396691,5928200036;536701949,8527299762
2009;CZ041;AIS;AIS1;0,0000000;0,0000000000;0,0000000000
2009;CZ041;AIS;AIS2;49003759,0000000;9889681,0000000000;58893440,0000000000
2009;CZ041;AIS;AIS3;80952249,6550000;18620264,3900000006;99572514,0450000018
2009;CZ041;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2009;CZ041;AIS;AIS5;4051274,0000000;627408,0000000000;4678682,0000000000
2009;CZ041;HC;HC;124013864,6515070;21884804,5220480002;145898669,1735550165
2009;CZ041;INFR;INFR;5351809283,6700001;2768914716,7699999809;8120724000,4400005341
2009;CZ041;RTD;RTD;10003540,0000000;140829,0000000000;10144369,0000000000
2009;CZ041;TA;TA;113941487,0330100;28486891,4351199977;142428378,4681299925
2009;CZ042;AIS;AIS1;0,0000000;0,0000000000;0,0000000000
2009;CZ042;AIS;AIS2;170574001,7500000;26447545,8000000007;197021547,5500000119
2009;CZ042;AIS;AIS3;56380500,0500000;39098410,7599999979;95478910,8100000024
2009;CZ042;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2009;CZ042;AIS;AIS5;29772100,0000000;5361253,2800000003;35133353,2800000012
2009;CZ042;HC;HC;332829288,1661120;58722084,8327429965;391551372,9988549948
2009;CZ042;INFR;INFR;3212281091,5691357;1167687417,2716798782;4379968508,8408155441
2009;CZ042;RTD;RTD;18423157,0000000;834375,0000000000;19257532,0000000000
2009;CZ042;TA;TA;490423156,8374100;89235302,0829199851;579658458,9203300476
2009;CZ051;AIS;AIS1;0,0000000;0,0000000000;0,0000000000
2009;CZ051;AIS;AIS2;11323330,5800000;1497184,0000000000;12820514,5800000001
2009;CZ051;AIS;AIS3;50090709,4700000;10818112,5299999993;60908822,0000000000
2009;CZ051;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2009;CZ051;AIS;AIS5;28289301,2600000;10273163,6204272006;38562464,8804271966
2009;CZ051;HC;HC;201550192,1844270;35511311,3683279976;237061503,5527549982
2009;CZ051;INFR;INFR;1878933719,0174999;373186755,4536023736;2252120474,4711022377
2009;CZ051;RTD;RTD;132551226,7600000;22883568,0199999996;155434794,7799999714
2009;CZ051;TA;TA;340017145,0439490;66555382,3379087895;406572527,3818578124
2009;CZ052;AIS;AIS1;17947828,8100000;3167263,9499999997;21115092,7599999979
